,torch_L40S,torch_mi250,claude-3.5-sonnet_L40S,claude-3.5-sonnet_mi250,deepseek-r1_L40S,deepseek-r1_mi250,deepseek-v3_L40S,deepseek-v3_mi250,gpt-4o_L40S,gpt-4o_mi250,llama-3.1-405b_L40S,llama-3.1-405b_mi250,llama-3.1-70b_L40S,llama-3.1-70b_mi250,openai-o1_L40S,openai-o1_mi250
1,0.386,0.546,2.45,4.37,2.46,4.06,3.41,15.2,3.43,15.3,3.38,15.3,13.0,55.5,3.42,15.3
2,0.397,0.539,2.49,5.16,2.52,4.41,3.35,14.9,3.39,15.0,3.4,15.0,13.1,55.9,3.39,15.0
3,0.165,0.499,1.26,1.07,0.654,1.09,1.01,3.76,0.969,3.78,0.935,3.8,-2.0,,3.29,13.9
4,0.188,4.72,4.69,53.3,0.197,0.331,13.8,196.0,13.8,201.0,13.8,198.0,13.8,201.0,13.8,200.0
5,0.822,0.39,1.19,0.652,1.19,0.648,1.19,0.651,1.19,0.662,1.71,2.08,1.71,2.07,1.19,0.656
6,0.654,0.706,4.21,9.48,6.01,9.82,5.8,84.5,5.82,84.3,5.83,84.2,15.1,67.9,15.1,67.9
7,1.63,1.58,-1.0,-1.0,3.9,8.61,5.02,11.1,5.15,11.1,5.15,11.2,15.1,58.3,5.08,11.1
8,8.77,8.53,42.1,74.5,42.1,74.5,69.1,253.0,73.7,254.0,71.6,254.0,109.0,664.0,70.0,254.0
9,1.9,1.28,3.22,3.63,11.0,31.8,3.38,6.43,3.34,6.53,5.7,30.9,5.72,30.8,3.39,6.53
10,1.45,1.53,7.66,13.3,7.98,12.8,20.5,54.4,-1.0,-1.0,75.7,471.0,-1.0,-1.0,20.9,34.3
11,36.0,24.1,-1.0,-1.0,-2.0,,356.0,517.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,366.0,518.0
12,2.83,3.74,0.214,0.234,0.221,0.19,0.269,0.517,1.05,5.98,0.27,0.518,-2.0,,0.221,0.191
13,3.84,3.99,19.4,32.8,-1.0,-2.0,28.6,126.0,27.9,128.0,28.4,128.0,103.0,444.0,28.8,128.0
14,2.98,3.79,5.39,28.7,5.42,28.6,5.42,28.5,5.5,28.8,10.9,138.0,-1.0,-1.0,14.0,64.0
15,2.99,3.75,-1.0,-1.0,30.5,317.0,6.22,95.7,9.59,46.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,0.384,0.541,3.21,5.02,9.95,18.0,3.62,15.7,3.52,15.7,3.5,15.7,-1.0,-1.0,3.61,15.9
17,0.561,0.556,13.7,57.6,2.96,5.72,-2.0,,13.7,58.0,13.7,58.0,13.7,57.4,13.7,58.0
18,0.412,1.27,-1.0,-1.0,3.51,4.35,-2.0,-2.0,13.2,55.8,-1.0,-1.0,-1.0,-1.0,3.44,15.0
19,0.0116,0.0215,0.0203,0.0488,0.0201,0.0427,0.019,0.0449,0.02,0.0443,0.0195,0.0384,0.0198,0.0436,0.0197,0.0379
20,0.0121,0.0232,0.0157,0.0368,0.0156,0.0322,0.0193,0.037,0.019,0.043,0.0184,0.0475,0.0195,0.0459,0.0282,0.0402
21,0.0114,0.0206,0.0156,0.0356,0.0131,-2.0,0.0185,0.0446,0.0189,0.0444,0.0188,0.0447,0.0181,0.0365,0.0187,0.0453
22,0.0112,0.0207,0.0161,0.0307,0.0154,0.0318,0.019,0.0398,0.0201,0.042,0.0195,0.0376,0.0193,0.0386,0.0376,0.0315
23,0.0116,0.0289,0.0385,0.0825,0.0259,0.08,2.35,9.47,0.0345,0.0814,2.44,12.6,2.35,9.51,0.0341,0.0786
24,0.0116,0.0256,0.443,2.43,0.0368,-2.0,1.8,8.37,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.512,2.97
25,0.0155,0.03,0.0159,0.0349,0.0156,0.0394,0.0205,0.0453,0.0186,0.0458,-1.0,-1.0,0.0199,0.0423,0.0153,0.0325
26,0.0114,0.0212,0.0171,0.0299,0.016,0.0332,0.0181,0.0397,0.0194,0.038,0.0191,0.0356,0.0724,0.0381,0.0191,0.0442
27,0.0116,0.0214,0.0163,0.031,-2.0,-2.0,0.0198,0.0369,-2.0,-2.0,0.0193,0.0373,-1.0,-1.0,0.0202,0.0442
28,0.0118,0.0218,0.0165,0.0351,0.016,0.0318,0.0188,0.0421,-1.0,-1.0,0.0186,0.0393,-1.0,-1.0,0.0196,0.0381
29,0.0116,0.0218,0.0159,0.0312,0.0143,0.0313,0.0189,0.0359,0.0192,0.0393,0.0183,0.0405,0.0193,0.0362,0.0179,0.0516
30,0.0228,0.0465,0.0171,0.0351,0.0152,0.0296,0.0192,0.0453,0.02,0.0389,0.0196,0.0447,0.0189,0.0446,0.0192,0.0452
31,0.0122,0.0234,0.0166,0.0348,0.018,0.0369,0.0201,0.0426,0.0191,0.038,0.02,0.0457,-1.0,-1.0,0.0202,0.0453
32,0.0133,0.0263,0.0151,0.0358,0.0185,0.0321,0.0201,0.0368,-1.0,-1.0,0.0194,0.0372,0.0189,0.0394,0.0166,0.0329
